date,customer_id,product,price,quantity,coupon_code,shipping_city,payment_method,order_status,delivery_date,customer_email
2024-06-02,ce1f008b-f5f0-4913-84b9-2fc52ef72027,Monitor,150,1,WELCOME20,New York,Credit Card,Shipped,2024-06-04,leroymoore@rivera.com
2023-08-24,2791dba1-6594-4156-95ab-bb7929d717ef,Headphones,50,4,FREESHIP,Philadelphia,Gift Card,Pending,2023-08-29,daniel19@robinson-rodgers.com
2023-03-16,670c30d5-2fb5-4858-b0de-94a26f72571e,Smartphone,700,1,BUY1GET1,San Antonio,Gift Card,Delivered,2023-03-23,dawnbenson@martinez-burgess.com
2023-04-04,a0404ec0-9283-4540-8676-64109ec616d5,Tablet,300,2,WELCOME20,Houston,Debit Card,Delivered,2023-04-08,christopherbrown@rodriguez.com
2023-09-24,46034da0-134f-419c-a3ed-8fc88b82913c,Printer,100,2,WELCOME20,Chicago,PayPal,Returned,2023-09-26,yhowell@graves.com
2024-12-29,3f6fd7ad-b884-4d51-9c35-f94ec7fb0c3e,Tablet,300,4,WELCOME20,Los Angeles,Net Banking,Cancelled,2025-01-04,mariacrosby@wells.com
2024-01-30,847c4f63-b554-4674-9db0-9522f2e828e2,Printer,100,1,FREESHIP,Philadelphia,Credit Card,Shipped,2024-02-03,xmcneil@neal.info
2023-04-26,820c4417-1dc9-4a5a-bb7e-9b9c0d5445a5,Smartphone,700,4,SAVE10,Dallas,Debit Card,Delivered,2023-04-29,kristinkramer@alexander-martinez.com
2024-12-16,5bc655de-ffd1-43dd-9af7-ec79adf66f30,Keyboard,30,5,FREESHIP,Houston,PayPal,Shipped,2024-12-20,ckoch@cohen.com
2023-03-16,1a4e4ccf-647c-4254-8e6d-3bd3c04a492a,Mouse,20,2,BUY1GET1,San Diego,Gift Card,Delivered,2023-03-21,yvonne76@gmail.com
2023-07-16,83a6cecc-8c94-42cb-a9b4-38cbb1e08ace,Monitor,150,5,WELCOME20,San Jose,Net Banking,Delivered,2023-07-20,davisalexandra@spencer-jennings.biz
2023-11-06,e50212c3-2e56-474d-bedd-313337374b34,Headphones,50,2,FREESHIP,Dallas,Gift Card,Returned,2023-11-11,hamiltoncheryl@lewis-kelly.com
2024-07-30,0813bd5e-27b3-4739-afcd-19e98e343e57,Tablet,300,4,FREESHIP,Philadelphia,Debit Card,Shipped,2024-08-02,barbara97@gmail.com
2025-01-17,6f00f77a-2b93-49aa-be94-2758102e47c6,Printer,100,4,WELCOME20,Chicago,Gift Card,Returned,2025-01-24,ufox@archer.com
2023-08-03,71d6757e-ef69-474c-bba0-6bc71d462c60,Monitor,150,4,BUY1GET1,Houston,Credit Card,Shipped,2023-08-10,ashley31@boyer.org
2023-11-09,ea6aeeba-fa4b-4692-b4c7-3e674c383d63,Smartwatch,200,4,WELCOME20,San Diego,Gift Card,Returned,2023-11-16,stephanie49@wilcox-lewis.info
2023-07-17,110890fe-8d64-4723-ba4d-60c9e46d9479,Headphones,50,4,FREESHIP,New York,Credit Card,Cancelled,2023-07-24,elizabethvasquez@jones.info
2025-03-13,355f6a23-6558-41c2-81cb-23d4812ecfbe,Monitor,150,3,BUY1GET1,San Diego,Credit Card,Returned,2025-03-20,curtis77@marquez.com
2023-01-15,f468e2b3-1c31-40bf-a79d-313396c1da7e,Mouse,20,4,SAVE10,Houston,PayPal,Shipped,2023-01-22,ebarr@gmail.com
2025-03-25,31ac39a3-5d81-417b-81c0-2c09221082b1,Keyboard,30,4,WELCOME20,Dallas,Credit Card,Returned,2025-03-31,collinsmarie@flores.com
2024-01-28,53f1ac7f-dcd0-4cfa-97a7-7956dc977f6c,Printer,100,4,FREESHIP,Houston,Net Banking,Cancelled,2024-01-30,jgomez@gmail.com
2024-03-30,065c9683-1c92-4125-b281-4d74acea6fce,Smartwatch,200,1,FREESHIP,San Diego,Net Banking,Delivered,2024-04-01,chad11@gmail.com
2023-06-27,8293d806-6568-427a-95a9-4f038f7ac7d2,Smartphone,700,4,FREESHIP,New York,Net Banking,Shipped,2023-07-01,harperjustin@hotmail.com
2023-10-30,661a1a90-10d5-43d7-8455-45183b697b73,Monitor,150,2,BUY1GET1,Dallas,Net Banking,Pending,2023-11-03,fmiller@davis-fischer.com
2023-12-24,6d08a701-da13-4dea-9cf8-be964d4a76fb,Printer,100,3,WELCOME20,Chicago,Debit Card,Delivered,2023-12-28,manuelwoods@green.org
2024-02-10,29dbf153-1f5d-4d45-865f-5f0333763efa,Laptop,1000,1,FREESHIP,San Diego,Net Banking,Returned,2024-02-16,bobbyhayden@gmail.com
2023-05-25,a0eba254-7749-48c6-a172-ad7e24bd14cd,Mouse,20,2,FREESHIP,New York,Credit Card,Returned,2023-05-27,millertamara@hotmail.com
2025-01-07,a89ee45e-a70f-43a8-bc6e-4108aa653b6b,Printer,100,5,WELCOME20,San Diego,Net Banking,Shipped,2025-01-10,pam02@wright-ellison.info
2023-08-07,6bf824aa-58be-4408-ae7e-2fa842e11919,Tablet,300,5,FREESHIP,San Diego,Credit Card,Pending,2023-08-13,crawfordvalerie@hayes-ward.com
2024-12-11,576beba6-8b87-41e7-902c-404607e68614,Monitor,150,4,SAVE10,New York,Credit Card,Delivered,2024-12-17,gdunn@taylor.org
2024-05-30,fce1730f-a492-447a-8bd5-78e2b6a3e076,Monitor,150,4,WELCOME20,Chicago,Gift Card,Delivered,2024-06-02,zthompson@porter.com
2024-02-23,dfdb1010-5b5e-4ca8-a141-2055a7b00390,Headphones,50,3,SAVE10,Chicago,Gift Card,Delivered,2024-02-29,gordonperez@berry-osborne.com
2024-12-21,8fcc85ea-ef45-429c-a64c-650246e55005,Smartphone,700,5,SAVE10,Houston,Credit Card,Returned,2024-12-23,charles54@hotmail.com
2023-01-08,97ed0da0-3274-4b90-b6b2-7e53b34642b3,Tablet,300,3,FREESHIP,San Antonio,Net Banking,Shipped,2023-01-11,tkhan@gmail.com
2023-12-07,95ed7a2a-8225-495d-a81f-d4ac66ceec78,Smartphone,700,4,SAVE10,Houston,Net Banking,Cancelled,2023-12-11,lucasberry@owens.info
2024-09-30,bec1df47-c1d5-4ede-8000-a60c2a4d8d4d,Laptop,1000,3,BUY1GET1,Philadelphia,Debit Card,Returned,2024-10-02,bromero@miller.info
2024-08-07,b6a0565b-1198-46a0-90a1-137d3658dd6b,Monitor,150,1,SAVE10,Los Angeles,Net Banking,Shipped,2024-08-11,lwolfe@patton.com
2024-07-06,52277f3a-62ba-4cbc-9529-69361dd7f638,Tablet,300,1,WELCOME20,Philadelphia,PayPal,Pending,2024-07-08,ajimenez@ibarra-lara.com
2025-04-04,998be900-b96f-4997-8e6e-e09dc610fb55,Monitor,150,5,FREESHIP,Los Angeles,Credit Card,Cancelled,2025-04-07,raymondedwards@pacheco.net
2023-04-05,06337c6c-c8e3-4d5e-a198-e01de87a1498,Smartphone,700,3,SAVE10,Chicago,Credit Card,Delivered,2023-04-09,xpalmer@benson.com
2024-07-27,d6521b45-39ea-4dfc-80f9-5e7141b8896e,Smartwatch,200,3,BUY1GET1,Los Angeles,Net Banking,Shipped,2024-08-01,taylordanny@smith.net
2023-06-25,30a1eb22-ce23-452f-ae7a-d47e226caa84,Tablet,300,2,SAVE10,Los Angeles,Gift Card,Cancelled,2023-06-28,vcarney@gmail.com
2024-02-11,82f9caa9-c9be-432c-aba8-35d25354d4d0,Monitor,150,1,SAVE10,New York,Gift Card,Delivered,2024-02-14,brandongolden@schneider.biz
2025-01-18,b9e863c4-6d86-4eeb-bf91-788f63511f2b,Monitor,150,2,FREESHIP,Philadelphia,Credit Card,Delivered,2025-01-25,gabrielle46@yahoo.com
2023-01-05,0dd27d4d-6b7c-48e8-9b63-838efc0d50dc,Printer,100,5,FREESHIP,San Jose,Debit Card,Shipped,2023-01-07,erica06@maldonado.com
2023-06-07,f5fb41ee-8451-4360-9bdf-165790b70ddf,Monitor,150,4,WELCOME20,San Jose,PayPal,Pending,2023-06-10,matthew92@yahoo.com
2023-07-07,d35fb223-ed10-4e96-b233-126978fc8cfa,Smartphone,700,5,WELCOME20,Los Angeles,PayPal,Shipped,2023-07-12,xsawyer@hotmail.com
2024-07-02,9bb893fb-d7c7-46cd-bde6-827e814f0c48,Keyboard,30,3,FREESHIP,San Jose,Net Banking,Returned,2024-07-05,ecollins@hotmail.com
2023-05-12,a32fc1ee-86b4-4aa4-b046-449bf4d9db2f,Smartwatch,200,3,BUY1GET1,Phoenix,Gift Card,Shipped,2023-05-15,bschaefer@gmail.com
2023-06-08,cd2c6f9f-cf28-4f89-9fc1-24f65f7949c8,Headphones,50,3,BUY1GET1,Philadelphia,Debit Card,Delivered,2023-06-12,boonechristopher@hotmail.com
2024-11-08,5bbaef41-6158-445e-8fa0-854dbd21beff,Smartwatch,200,3,FREESHIP,New York,Net Banking,Cancelled,2024-11-15,hansonsonya@hotmail.com
2024-12-29,ac47434d-a2f8-41fc-b3f2-a05cf9ebf513,Keyboard,30,4,SAVE10,Dallas,Debit Card,Shipped,2024-12-31,thomas52@yahoo.com
2024-04-20,8000914e-b4a3-479b-aedc-2b7658664918,Smartwatch,200,2,FREESHIP,Chicago,Gift Card,Pending,2024-04-22,mosleyjames@hotmail.com
2024-04-24,0588e929-52af-489a-9178-9d3d4db39ba2,Mouse,20,2,SAVE10,Phoenix,PayPal,Delivered,2024-04-28,samuelmitchell@smith.biz
2024-12-04,e7c45fbb-105a-47fa-9c15-2341eeb2e145,Monitor,150,5,WELCOME20,San Diego,Credit Card,Delivered,2024-12-09,lewissusan@gmail.com
2023-05-01,e7d1e9a7-565a-4f5a-a1b6-1e5d123f318b,Mouse,20,5,FREESHIP,San Jose,Gift Card,Pending,2023-05-04,vgarcia@hotmail.com
2023-08-27,4cfabd39-8c29-4118-82b3-d5eff1aea523,Smartphone,700,1,BUY1GET1,Phoenix,Credit Card,Delivered,2023-08-30,lewisjasmine@wells.com
2025-02-10,d7a9893f-dc25-4a14-857e-3a12d85ea4ba,Headphones,50,4,SAVE10,Philadelphia,Credit Card,Shipped,2025-02-14,adamsalexander@hotmail.com
2024-09-18,4dec08ba-4262-4e4e-ad03-88a09480709a,Smartwatch,200,2,BUY1GET1,New York,Credit Card,Cancelled,2024-09-22,dixonshawn@hotmail.com
2024-08-23,8d8e27b6-7808-4364-992b-8da00de5cda8,Laptop,1000,3,SAVE10,Philadelphia,Gift Card,Shipped,2024-08-28,mpetersen@rogers.com
2023-05-01,fc67c8c7-0b0f-49af-be55-1f951710dbbc,Headphones,50,2,BUY1GET1,San Diego,Debit Card,Cancelled,2023-05-06,mtapia@hotmail.com
2023-11-09,6b6f0c2c-f6d6-4c34-ba9f-74e5f30da772,Laptop,1000,1,FREESHIP,New York,Net Banking,Cancelled,2023-11-14,pleon@mullins-stewart.org
2023-07-17,69132aeb-dc6a-4795-9cfc-e6968774281e,Headphones,50,2,WELCOME20,Phoenix,PayPal,Delivered,2023-07-19,hhardy@evans.biz
2024-02-23,3bb42eaa-76c3-494d-92c3-187baaa9e8bc,Tablet,300,4,BUY1GET1,San Antonio,Debit Card,Cancelled,2024-02-28,ewilliams@matthews-russell.org
2025-02-06,a1393a4e-0184-47f2-a0a7-1b3a0751034f,Tablet,300,1,SAVE10,New York,Net Banking,Pending,2025-02-08,vjones@hotmail.com
2024-08-24,db1078bb-4fed-4ce4-a0e0-11ce84cfbc14,Smartphone,700,2,BUY1GET1,Dallas,Net Banking,Pending,2024-08-28,johnsonchristie@dawson.com
2023-10-17,87f38393-3e3a-40f3-9e51-eb27ed304f46,Printer,100,1,SAVE10,Philadelphia,PayPal,Shipped,2023-10-22,meltonbrittany@yahoo.com
2023-04-23,7485d4f8-be95-4a8e-b730-2dfb66f29ee4,Tablet,300,1,SAVE10,Los Angeles,PayPal,Delivered,2023-04-28,christianbecker@garrett.com
2023-01-07,0c33b396-80cc-46a7-beb3-3c69eb3fbc00,Headphones,50,1,SAVE10,Houston,Gift Card,Cancelled,2023-01-14,travis98@thompson.net
2023-06-06,b228e705-8941-47c9-a6ca-d4c26dccd5ca,Tablet,300,4,WELCOME20,Phoenix,PayPal,Shipped,2023-06-10,shannonjohnson@adams-wade.biz
2023-11-06,d51116ce-7d1c-4ff7-950a-3a1bd57b8d33,Laptop,1000,5,BUY1GET1,Phoenix,Net Banking,Returned,2023-11-09,tjensen@brady.com
2024-09-19,fccf91d1-ec36-4b15-a73f-a056898c60b1,Printer,100,3,WELCOME20,Los Angeles,Debit Card,Pending,2024-09-23,laurensanchez@yahoo.com
2023-07-18,f67291cd-4dd4-45d9-a122-74bf8c022ae5,Monitor,150,5,FREESHIP,Houston,Gift Card,Delivered,2023-07-25,mendozaandrew@yahoo.com
2024-04-15,3861972e-74c5-4c8c-9ad5-e1d89aaf070c,Smartwatch,200,4,BUY1GET1,New York,Debit Card,Pending,2024-04-20,livingstonwendy@smith-bates.biz
2025-04-13,b02d3685-be71-4c98-99d1-1dcb96d023b4,Smartwatch,200,5,SAVE10,Dallas,Net Banking,Shipped,2025-04-17,owenkyle@mendez-anderson.com
2023-09-17,3f46e967-1960-474d-979e-2b0d571ef56a,Smartphone,700,1,FREESHIP,Philadelphia,Debit Card,Delivered,2023-09-19,austincollier@johnson.com
2023-04-05,c0ce3c24-c152-4a20-9ad7-5c09c6eb7a4a,Smartphone,700,1,SAVE10,Phoenix,Debit Card,Returned,2023-04-07,thomas46@wright-dominguez.com
2024-04-14,b3c7e2d7-4938-4b16-a878-7ab5c6edf6f7,Smartwatch,200,1,FREESHIP,Phoenix,PayPal,Cancelled,2024-04-21,chris42@yahoo.com
2024-06-07,d74ce039-3509-4c91-bf43-bbf991de9000,Smartwatch,200,2,BUY1GET1,New York,Net Banking,Returned,2024-06-10,michaelflowers@hotmail.com
2023-06-11,98f0c6ea-beae-4bb8-87b6-20fcb67cf46f,Smartwatch,200,5,FREESHIP,New York,Debit Card,Shipped,2023-06-13,amber24@king-johnson.com
2024-05-01,b586215d-5a1b-44a5-8987-d03ab785861c,Monitor,150,3,WELCOME20,Philadelphia,Debit Card,Returned,2024-05-07,shannonroman@weber.org
2025-04-21,7fdc7bbf-a9e9-4e61-bdf6-9a7e26610fed,Printer,100,1,BUY1GET1,San Antonio,Credit Card,Delivered,2025-04-25,ccarroll@yahoo.com
2025-01-20,f0156579-13d8-41ca-85b9-8a92c506900e,Smartwatch,200,4,FREESHIP,Houston,Credit Card,Returned,2025-01-27,steven52@salinas-anderson.com
2024-06-16,b201605b-a880-4b45-8eb3-254adad07603,Printer,100,3,FREESHIP,Philadelphia,Credit Card,Delivered,2024-06-21,kingjennifer@gmail.com
2024-12-15,aff7d9b1-6609-499f-97c1-a7c700c2f4e2,Tablet,300,4,BUY1GET1,New York,Debit Card,Cancelled,2024-12-17,yhorton@kennedy.com
2024-08-05,a7e5bfcf-b7ff-4547-a558-aaa548e17f78,Smartwatch,200,5,FREESHIP,Philadelphia,Debit Card,Pending,2024-08-08,lsmith@marshall-nelson.com
2023-07-12,ebb2e114-ab78-4493-9b4b-e58e5c03eeeb,Keyboard,30,5,WELCOME20,San Jose,Debit Card,Pending,2023-07-15,sandra46@gmail.com
2023-04-17,ef61799d-22ae-431a-8b25-9a0f557e9b15,Mouse,20,1,FREESHIP,Los Angeles,Credit Card,Returned,2023-04-24,cody91@mejia.com
2023-11-14,6b72ff06-e106-40ad-9aca-58c690e09560,Headphones,50,1,BUY1GET1,Chicago,Net Banking,Pending,2023-11-17,imeyer@goodman-robinson.biz
2023-01-11,53a9ff01-57de-4804-a0e4-be1e6adfa510,Mouse,20,1,SAVE10,San Jose,Gift Card,Cancelled,2023-01-17,robert66@maldonado.com
2025-03-09,ebc2ff70-4373-46e0-89ff-1f55f125a096,Smartwatch,200,5,SAVE10,San Antonio,Gift Card,Pending,2025-03-16,brendayoung@paul.com
2023-12-03,516f8ea5-9749-42de-ad25-511d068b9952,Smartwatch,200,2,SAVE10,Chicago,Credit Card,Cancelled,2023-12-08,davidtaylor@yahoo.com
2024-07-15,7b6cfbb6-d6c0-41c7-953e-6b62d78cd46d,Laptop,1000,4,WELCOME20,New York,PayPal,Delivered,2024-07-21,lauralopez@green.org
2024-01-24,8b6f57f7-b429-425c-9252-2e3534a9afb1,Printer,100,2,FREESHIP,San Diego,Credit Card,Shipped,2024-01-31,wendyjohnson@hotmail.com
2024-02-01,d8592724-3293-4b90-bd4d-3e69c8fb6a11,Mouse,20,1,FREESHIP,New York,Gift Card,Pending,2024-02-05,gary72@yahoo.com
2023-11-01,94687a0b-2dac-4deb-b37f-717223810ac6,Printer,100,4,BUY1GET1,Houston,Gift Card,Pending,2023-11-03,gloverchristina@yahoo.com
2023-10-22,8b31b99f-a767-4f29-b7ca-ed4f410fa562,Tablet,300,5,FREESHIP,San Antonio,Net Banking,Delivered,2023-10-24,michaeldavis@wright.net
2025-02-15,d960102b-6c1c-45aa-a69e-4bcbe75d852d,Smartwatch,200,4,BUY1GET1,Philadelphia,Credit Card,Cancelled,2025-02-21,seth09@brown-moss.com
2023-08-03,0bd93f48-5599-4363-ab20-795f34145fa5,Smartphone,700,3,WELCOME20,Dallas,PayPal,Returned,2023-08-08,kathryn07@woods.org
2023-01-25,9d976c71-a941-47ca-9d8b-9b786dc97d16,Printer,100,2,WELCOME20,Houston,Gift Card,Delivered,2023-01-27,louis04@gmail.com
2025-02-09,99ea4fbf-f893-4aaf-b36e-54026eed84ca,Monitor,150,3,FREESHIP,Phoenix,PayPal,Cancelled,2025-02-15,floyddenise@smith.com
2023-03-21,65b77e47-1cfd-42c9-86e3-26d1dae7d288,Keyboard,30,3,WELCOME20,New York,Credit Card,Shipped,2023-03-28,christopherwoods@smith.biz
2024-10-03,13b4af62-43bf-4bba-85c2-17c06bf38830,Headphones,50,5,SAVE10,San Antonio,Debit Card,Returned,2024-10-06,uhunter@goodwin-bradford.biz
2024-04-20,84fc478e-1a99-4db1-893d-219df50ab2ad,Headphones,50,3,BUY1GET1,Chicago,Credit Card,Shipped,2024-04-27,ldouglas@yahoo.com
2023-09-29,5b29356c-9697-4a56-a318-64941129ed7e,Headphones,50,4,SAVE10,New York,Net Banking,Returned,2023-10-01,graysteven@hotmail.com
2024-12-17,151dd4f6-7412-424a-aef6-3462de65ef1a,Monitor,150,5,SAVE10,Phoenix,PayPal,Delivered,2024-12-24,chandlerdaniel@hotmail.com
2024-09-03,feaa918f-252c-4756-9342-7150a190fbfd,Tablet,300,5,SAVE10,Phoenix,Net Banking,Cancelled,2024-09-06,jasongarcia@gmail.com
2024-06-02,879c43dc-cf13-4184-82b2-e9f5dd799bc8,Smartphone,700,4,SAVE10,Phoenix,Debit Card,Returned,2024-06-09,brian95@hotmail.com
2025-04-07,e401276a-b335-4d9d-92e6-2f9268d5a722,Smartphone,700,1,WELCOME20,San Jose,Net Banking,Pending,2025-04-09,singhjackson@anderson.com
2024-07-26,3e6dde41-2208-4dd3-a7aa-4fe638f8bd0c,Smartwatch,200,3,FREESHIP,Philadelphia,Debit Card,Shipped,2024-08-01,kathleen02@burns-benitez.com
2023-02-25,01352eeb-1ca2-47ee-8f42-d5ed0cfa62eb,Tablet,300,1,BUY1GET1,San Jose,Net Banking,Returned,2023-02-27,vanessahernandez@smith.org
2023-09-11,4b7b57ca-12ae-464d-91f2-4ad33b1b7ef8,Printer,100,2,WELCOME20,Phoenix,Credit Card,Pending,2023-09-14,ojuarez@gmail.com
2023-10-14,5499de1f-b743-4d54-a966-61c47e0ab4e9,Smartphone,700,3,WELCOME20,Dallas,Credit Card,Pending,2023-10-19,whaynes@carson.net
2025-02-08,7b087be7-fa78-4956-bb63-3fbadf31e1f1,Monitor,150,3,WELCOME20,Phoenix,Net Banking,Pending,2025-02-10,mgray@hotmail.com
2024-01-19,9bf8fe16-4f1e-46d1-9e8d-d8fa7400d67b,Headphones,50,1,FREESHIP,San Jose,Debit Card,Shipped,2024-01-25,catherineoneal@hotmail.com
2023-02-18,d0d52c7f-2d6e-42f5-af39-838f81152604,Printer,100,2,SAVE10,Dallas,Credit Card,Returned,2023-02-24,mevans@yahoo.com
2024-07-16,65facf34-4273-42eb-8186-25a9de78d940,Tablet,300,4,WELCOME20,Dallas,Credit Card,Returned,2024-07-18,danielsdaniel@martinez-rodriguez.info
2023-11-29,9ef86a2b-4487-4a41-acbc-6cc4eed2a3e2,Tablet,300,4,BUY1GET1,San Diego,Net Banking,Cancelled,2023-12-05,robert94@good.biz
2023-01-08,b269feaa-f7b0-4a7f-9b69-8ac24018bbbc,Monitor,150,5,FREESHIP,New York,PayPal,Cancelled,2023-01-12,glynch@gmail.com
2023-05-07,6c34e596-feb5-4352-88d7-fad8c4921525,Mouse,20,2,WELCOME20,San Jose,Gift Card,Cancelled,2023-05-13,hannahparker@hotmail.com
2024-10-10,70bb9475-1fe4-4a9b-a5a2-795dcf0bce38,Smartphone,700,1,FREESHIP,Houston,PayPal,Returned,2024-10-17,cliffordclark@hotmail.com
2023-03-31,8987881a-ff2e-4c84-a498-f8794b302db9,Smartphone,700,4,WELCOME20,Philadelphia,Gift Card,Cancelled,2023-04-02,ethanpruitt@lester-martin.info
2025-01-13,e500c9ca-0d26-4588-9cd5-1f75841b9c56,Tablet,300,1,BUY1GET1,Chicago,Credit Card,Pending,2025-01-19,nlopez@hotmail.com
2023-06-15,0a1de2c0-0be6-41ea-9070-28824bf886db,Smartphone,700,5,FREESHIP,Philadelphia,Debit Card,Shipped,2023-06-19,jessicapearson@gmail.com
2025-01-09,b7d1556a-7366-4baa-b18e-722fdf2928a5,Keyboard,30,5,BUY1GET1,San Diego,Credit Card,Delivered,2025-01-13,jamiejohnson@jones.info
2023-03-06,d6ef448d-bd30-46df-983b-24f3f2a5e03e,Printer,100,4,FREESHIP,Phoenix,PayPal,Cancelled,2023-03-13,jennifer53@reid-arellano.info
2023-08-27,730470e7-8c5a-4810-ad80-c43fb898e11a,Keyboard,30,4,BUY1GET1,San Diego,PayPal,Returned,2023-09-02,martincarlson@yahoo.com
2025-01-06,7dc552c4-e2e9-4292-9fe4-9bc1e58cbf25,Printer,100,2,FREESHIP,Dallas,Debit Card,Returned,2025-01-13,pamelacannon@howard.com
2025-02-02,2570e6c9-99e3-4dfb-8d52-6cbf876a8f9b,Monitor,150,1,FREESHIP,Phoenix,Net Banking,Delivered,2025-02-09,hwatson@jones-kim.com
2024-09-18,5d7677f6-85ab-4bce-bba9-84b0896e0678,Keyboard,30,3,BUY1GET1,Los Angeles,Net Banking,Cancelled,2024-09-23,jessicabeltran@hotmail.com
2023-09-07,b5feb1a3-8732-477d-ba7a-bd152941e81e,Monitor,150,4,WELCOME20,Philadelphia,Gift Card,Pending,2023-09-12,kgreen@hotmail.com
2024-04-04,ac548778-e69d-46dd-bb8a-be3adeedd8c6,Smartphone,700,2,WELCOME20,New York,Gift Card,Cancelled,2024-04-07,greenmary@smith-anderson.info
